,Name,experiment,activation_1,architecture,batch_size,dataset,volume,date_range,lookback,dropout,learning_rate,rsme,mape,loss,epoch,Runtime
79,clean-snowflake-56,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0041152694591329,827.9010247564935,6.5438733412264245,0.0022799700964242,100,96
80,woven-durian-55,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0086569295855188,625.0100953733767,4.89757982206293,0.0019220307003706,100,96
81,dark-dew-54,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0085145323770398,1316.2382305194806,8.386708407207449,0.0021477458067238,100,95
82,good-snowball-53,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0050147559920266,750.5823863636364,6.051025262094608,0.0023335642181336,100,94
83,worldly-puddle-52,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0091479429045985,965.5345982142856,6.591140588275082,0.0019607429858297,100,97
84,giddy-donkey-51,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,05d,0.1,0.0054546814403004,934.4737723214286,6.934146500503786,0.0020908287260681,100,111
73,wandering-energy-63,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.0060510200029899,581.3898640422078,4.739713872353694,0.0023618079721927,100,106
74,peach-smoke-62,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.001752211497898,879.6025010146104,7.451243213512623,0.0033780348021537,100,155
75,whole-fire-61,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.007626943535903,1068.4647930194806,7.102186962914843,0.0022771679796278,100,168
76,confused-voice-60,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.0022032524265895,877.5497412743506,7.083831129395511,0.0032714982517063,100,157
77,pleasant-firebrand-58,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.0066617741383487,721.3494571834416,5.333962185920018,0.0019331419607624,100,104
78,denim-resonance-57,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,10d,0.1,0.0028988881696059,771.357218952922,6.248653251203645,0.0028264222200959,100,107
67,desert-capybara-69,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0077932540140664,990.0055803571428,6.746499773798888,0.0019382016034796,100,307
68,rosy-sun-68,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0079618134252098,769.7283380681819,5.551781139847779,0.0017553195357322,100,503
69,lyric-yogurt-67,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0089327892743888,860.3757609577922,5.9819526936562495,0.0020808631088584,100,355
70,exalted-disco-66,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0011825867275536,918.8380428165584,7.243839987043129,0.0036820753011852,100,183
71,peach-fog-65,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0057999821397192,351.00684862012986,3.8983749701239856,0.0023076152428984,100,523
72,warm-surf-64,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,20d,0.1,0.0073296763068543,413.67895190746754,3.884944838336503,0.0018285029800608,100,140
61,astral-oath-75,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.0080996215752142,848.2747311282468,5.918161281094693,0.0019771314691752,100,147
62,helpful-wave-74,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.0056380982584609,673.8360896915584,5.219288993899077,0.0018097496358677,100,148
63,spring-smoke-73,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.002091886041374,1211.605265827922,8.577478541552424,0.0028772347141057,100,158
64,genial-pyramid-72,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.0094515572225337,626.0838068181819,4.921667464463679,0.0020027398131787,100,252
65,eager-forest-71,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.0083172972445066,816.0804332386364,6.036374784833313,0.0020496952347457,100,161
66,fanciful-deluge-70,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,30d,0.1,0.0072333932497381,880.6284496753246,6.366183139442118,0.0020147392060607,100,244
55,glamorous-eon-81,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0061523895247513,847.6717228084416,6.202943292376822,0.0023028347641229,100,216
56,crisp-sponge-80,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0087356274715769,1321.5175020292209,8.351687724714488,0.0019339182181283,100,342
57,stellar-wind-79,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0068362818129799,616.2258269074675,4.922257202479322,0.0017609231872484,100,218
58,super-wildflower-78,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0079911093524231,694.3669592126623,5.022790352912643,0.0016465986846014,100,173
59,rose-feather-77,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0092621261719648,947.5033482142856,6.387781034125495,0.0021452936343848,100,175
60,comic-wind-76,effect-size-ds,tanh,LSTM,64,BTC-USD,1y,2022-2023,40d,0.1,0.0016541385129721,1020.961317978896,7.64092351825352,0.0034176679328083,100,175
