,size_dataset,lookback,mape
36,1y,05d,6.5438733412264245
37,1y,05d,4.89757982206293
38,1y,05d,8.386708407207449
39,1y,05d,6.051025262094608
40,1y,05d,6.591140588275082
41,1y,05d,6.934146500503786
30,1y,10d,4.739713872353694
31,1y,10d,7.451243213512623
32,1y,10d,7.102186962914843
33,1y,10d,7.083831129395511
34,1y,10d,5.333962185920018
35,1y,10d,6.248653251203645
24,1y,20d,6.746499773798888
25,1y,20d,5.551781139847779
26,1y,20d,5.9819526936562495
27,1y,20d,7.243839987043129
28,1y,20d,3.8983749701239856
29,1y,20d,3.884944838336503
18,1y,30d,5.918161281094693
19,1y,30d,5.219288993899077
20,1y,30d,8.577478541552424
21,1y,30d,4.921667464463679
22,1y,30d,6.036374784833313
23,1y,30d,6.366183139442118
12,1y,40d,6.202943292376822
13,1y,40d,8.351687724714488
14,1y,40d,4.922257202479322
15,1y,40d,5.022790352912643
16,1y,40d,6.387781034125495
17,1y,40d,7.64092351825352
6,1y,50d,6.745230346050314
7,1y,50d,6.6811174288595305
8,1y,50d,7.812101698399236
9,1y,50d,7.386990690576326
10,1y,50d,5.9442798278103925
11,1y,50d,3.9288767765881616
0,1y,60d,6.085268074727447
1,1y,60d,4.89289922212267
2,1y,60d,3.9737122356894408
3,1y,60d,6.951291036653847
4,1y,60d,4.221864852574682
5,1y,60d,5.3361993072994425
80,3y,05d,4.7000739046709015
81,3y,05d,2.9359460888436444
82,3y,05d,12.331872852305974
83,3y,05d,7.160207335122289
84,3y,05d,2.8326486700062143
85,3y,05d,9.86262806344737
72,3y,10d,4.185943544378057
73,3y,10d,2.969888602467569
74,3y,10d,2.741961410839497
75,3y,10d,11.517977487289114
78,3y,10d,3.5012884037440557
66,3y,20d,3.676111716565732
67,3y,20d,3.217166723739753
68,3y,20d,2.529205473070757
69,3y,20d,2.5293758050115787
70,3y,20d,2.692046550323412
71,3y,20d,2.465300087012261
59,3y,30d,2.830451433067271
60,3y,30d,3.367599921600886
61,3y,30d,2.643760096442177
62,3y,30d,2.615488788568611
63,3y,30d,2.481071158446839
64,3y,30d,4.030489048121247
54,3y,40d,3.78118082185013
55,3y,40d,2.640570679303386
56,3y,40d,2.314537234210777
57,3y,40d,3.87118282885244
58,3y,40d,2.683379943156127
65,3y,40d,2.841474537239609
48,3y,50d,3.7933157598998815
49,3y,50d,3.1515321843278405
50,3y,50d,6.159595981083451
51,3y,50d,2.99879815403152
52,3y,50d,3.270587607690885
53,3y,50d,5.36710621588377
42,3y,60d,4.129794491049573
43,3y,60d,3.778604007614723
44,3y,60d,3.79075470731077
45,3y,60d,2.379619465646315
46,3y,60d,3.982566484867252
47,3y,60d,4.476345071827903
0,5y,05d,6.543184175907182
1,5y,05d,8.41175768251063
2,5y,05d,14.70308265351159
3,5y,05d,18.293587919049983
4,5y,05d,9.702608729162584
5,5y,05d,11.051722941923355
36,5y,10d,34.99131775251744
37,5y,10d,6.176233857039593
38,5y,10d,24.41328188521212
39,5y,10d,14.636668487111969
40,5y,10d,9.567481319755116
41,5y,10d,14.444789873176514
30,5y,20d,4.158556677357858
31,5y,20d,17.128427961960764
32,5y,20d,12.566607405763104
33,5y,20d,7.676507531562658
34,5y,20d,64.78545353030883
35,5y,20d,26.18612462777972
24,5y,30d,15.999787023848397
25,5y,30d,16.100521365274563
26,5y,30d,11.177334918610056
27,5y,30d,4.701044063060338
28,5y,30d,14.083196780096928
29,5y,30d,30.07607129519275
18,5y,40d,23.505284688525222
19,5y,40d,3.828400707520253
20,5y,40d,16.374063035516855
21,5y,40d,355.2097916356011
22,5y,40d,17.82799953008297
23,5y,40d,24.15850944207316
12,5y,50d,58.30723262978326
13,5y,50d,15.684636487063727
14,5y,50d,13.440196008816793
15,5y,50d,12.56422020120374
16,5y,50d,11.295523188994135
17,5y,50d,10.692497492557582
6,5y,60d,182.2521422840607
7,5y,60d,2.8171775701463804
8,5y,60d,93.88853343914406
9,5y,60d,21.880674201470583
10,5y,60d,22.698738991751817
11,5y,60d,20.522057343970417
