,Name,dataset_name,architecture_name,batch_size,experiment,size-dataset,date_range,lookback,dropout,learning_rate,RSME,MAPE,epoch,Runtime
0,giddy-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,3","0,071110525","866,9391435","6,543184176",100,4792
1,silvery-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,3","0,040244133","2515,004459","8,411757683",100,4814
2,morning-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,2","0,071004542","3474,920239","14,70308265",100,4931
3,fluent-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,2","0,054724813","4324,273432","18,29358792",100,5552
4,ruby-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,2","0,090678861","2261,033171","9,702608729",100,5797
5,vivid-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,5d,"0,1","0,080647288","2756,60622","11,05172294",100,5216
6,lilac-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,2","0,08891931","40661,86581","182,2521423",100,5814
7,cosmic-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,3","0,01074722","289,7055677","2,81717757",100,5590
8,unique-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,3","0,056046631","19500,77402","93,88853344",100,5292
9,expert-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,3","0,041170089","5235,188172","21,8806742",100,5685
10,eternal-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,2","0,005017455","5316,890016","22,69873899",100,6542
11,mild-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,60d,"0,3","0,014359067","4812,296663","20,52205734",100,6238
12,fiery-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,3","0,066968009","12231,395","58,30723263",100,5194
13,fluent-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,2","0,075949799","3690,576389","15,68463649",100,5150
14,swift-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,2","0,055008832","3030,388285","13,44019601",100,5157
15,faithful-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,2","0,089982634","2842,09637","12,5642202",100,4990
16,treasured-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,1","0,030160141","1753,019738","11,29552319",100,5069
17,absurd-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,50d,"0,1","0,081572474","2262,099017","10,69249749",100,5061
18,worthy-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,1","0,052270548","5383,196435","23,50528469",100,5163
19,pretty-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,3","0,013323586","801,7949219","3,828400708",100,5428
20,dazzling-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,3","0,061689677","3815,500222","16,37406304",100,5725
21,confused-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,1","0,066152212","87998,267","355,2097916",100,5248
22,zesty-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,2","0,065801534","4229,440893","17,82799953",100,5680
23,expert-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,40d,"0,1","0,066146032","5817,230961","24,15850944",100,6219
24,robust-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,2","0,028498223","3686,413856","15,99978702",100,5144
25,earthy-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,1","0,049323848","3743,652455","16,10052137",100,5036
26,azure-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,3","0,082896054","2446,690157","11,17733492",100,5243
27,worthy-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,2","0,024574253","948,4675961","4,701044063",100,5015
28,driven-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,1","0,050865784","3190,554629","14,08319678",100,4908
29,valiant-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,30d,"0,1","0,081110619","1982,74747","30,0760713",100,4841
30,olive-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,2","0,0167093","985,2874905","4,158556677",100,4791
31,sparkling-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,1","0,074251666","3971,378234","17,12842796",100,4720
32,breezy-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,2","0,094466781","2890,417101","12,56660741",100,4675
33,sage-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,3","0,012620475","1640,41103","7,676507532",100,4750
34,dazzling-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,3","0,058947483","14090,26604","64,78545353",100,5124
35,copper-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,20d,"0,2","0,056518004","8411,298251","26,18612463",100,5336
36,breezy-sweep-6,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,2","0,077121931","391,3189363","34,99131775",100,4936
37,driven-sweep-5,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,2","0,029997088","859,7346291","6,176233857",100,5562
38,dauntless-sweep-4,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,1","0,075633142","7397,734963","24,41328189",100,5053
39,easy-sweep-3,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,1","0,005099232","3153,833185","14,63666849",100,5393
40,scarlet-sweep-2,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,2","0,086147476","789,8600896","9,56748132",100,5401
41,ethereal-sweep-1,BTC-USD,LSTM,64,effec-size-ds,5y,2018-2023,10d,"0,2","0,028015226","3374,621295","14,44478987",100,5239
0,dainty-elevator-95,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,008815057","826,0829698","6,085268075",100,242
1,sandy-cosmos-94,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,007669298","573,0942319","4,892899222",100,245
2,dulcet-wave-93,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,009789162","416,8204393","3,973712236",100,282
3,polar-salad-92,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,002829151","904,4410258","6,951291037",100,191
4,apricot-water-91,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,009960308","472,5534953","4,221864853",100,234
5,expert-sun-90,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,60d,"0,1","0,008776409","655,7314326","5,336199307",100,220
6,polar-moon-89,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,50d,"0,1","0,001013824","751,2690239","6,745230346",100,345
7,skilled-vortex-88,BTC-USD,LSTM,64,effect-size-ds,1y,2022-2023,50d,"0,1","0,005388664","917,1719511","6,681117429",100,484
