Name;experiment;size-dataset;date_range;lookback;dropout;learning_rate;RSME;MAPE;mae;loss;epoch;Runtime;State;Notes;User;Tags;Created;Sweep;activation_1;architecture_name;batch_size;dataset_name;loss_function;best_epoch;best_val_loss;val_loss;val_mae
dainty-elevator-95;effect-size-ds;1y;2022-2023;60d;0,1;0,008815057;826,0829698;6,085268075;0,028755872;0,00140348;100;242;finished;-;sal-souzasa;;2023-09-13T20:02:13.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309880384;309884544;17525,08789
sandy-cosmos-94;effect-size-ds;1y;2022-2023;60d;0,1;0,007669298;573,0942319;4,892899222;0,030524395;0,001832495;100;245;finished;-;sal-souzasa;;2023-09-13T19:57:31.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309882080;309884800;17525,09766
dulcet-wave-93;effect-size-ds;1y;2022-2023;60d;0,1;0,009789162;416,8204393;3,973712236;0,029931998;0,00165283;100;282;finished;-;sal-souzasa;;2023-09-13T19:50:51.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309883616;309884960;17525,10156
polar-salad-92;effect-size-ds;1y;2022-2023;60d;0,1;0,002829151;904,4410258;6,951291037;0,037874915;0,002728053;100;191;finished;-;sal-souzasa;;2023-09-13T03:42:35.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309881664;309884416;17525,08594
apricot-water-91;effect-size-ds;1y;2022-2023;60d;0,1;0,009960308;472,5534953;4,221864853;0,029883523;0,001608462;100;234;finished;-;sal-souzasa;;2023-09-13T03:37:19.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309881984;309884896;17525,09961
expert-sun-90;effect-size-ds;1y;2022-2023;60d;0,1;0,008776409;655,7314326;5,336199307;0,03160204;0,001758237;100;220;finished;-;sal-souzasa;;2023-09-13T03:33:03.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309881024;309884704;17525,0957
polar-moon-89;effect-size-ds;1y;2022-2023;50d;0,1;0,001013824;751,2690239;6,745230346;0,046385799;0,004256506;100;345;finished;-;sal-souzasa;;2023-09-13T03:22:26.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;1;309878208;309884640;17525,0918
skilled-vortex-88;effect-size-ds;1y;2022-2023;50d;0,1;0,005388664;917,1719511;6,681117429;0,035516981;0,002375173;100;484;finished;-;sal-souzasa;;2023-09-13T03:13:46.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;37;309883360;309884416;17525,08398
summer-snowflake-87;effect-size-ds;1y;2022-2023;50d;0,1;0,002240548;1058,656554;7,812101698;0,041241229;0,003345273;100;217;finished;-;sal-souzasa;;2023-09-13T03:08:50.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309880160;309884256;17525,08203
clean-jazz-86;effect-size-ds;1y;2022-2023;50d;0,1;0,005446366;1131,984426;7,386990691;0,037367884;0,002775231;100;224;finished;-;sal-souzasa;;2023-09-13T03:02:08.000Z;;tanh;LSTM;64;BTC-USD;mean_squared_error;0;309881344;309884192;17525,07813
