Name;experiment;size-dataset;date_range;lookback;batch_size;dropout;epoch;epoch/epoch;optimizer;learning_rate;Runtime;RSME;MAPE;State;User;Created;Sweep;architecture_name;dataset_name;batch/batch_step;batch/learning_rate;batch/loss;batch/mse;epoch/learning_rate;epoch/loss;epoch/mse;epoch/val_loss;epoch/val_mse
giddy-sweep-6;effec-size-ds;5y;2018-2023;5d;64;0,3;100;99;adam;0,071110525;4792;866,9391435;6,543184176;finished;sal-souzasa;2023-09-10T05:04:43.000Z;5csk477r;LSTM;BTC-USD;2990;0,071110524;0,001166602;0,001166602;0,071110524;0,001181157;0,001181157;818294848;818294848
silvery-sweep-5;effec-size-ds;5y;2018-2023;5d;64;0,3;100;99;adam;0,040244133;4814;2515,004459;8,411757683;finished;sal-souzasa;2023-09-10T03:44:24.000Z;5csk477r;LSTM;BTC-USD;2990;0,040244132;0,001060792;0,001060792;0,040244132;0,001061906;0,001061906;818296768;818296768
morning-sweep-4;effec-size-ds;5y;2018-2023;5d;64;0,2;100;99;sgd;0,071004542;4931;3474,920239;14,70308265;finished;sal-souzasa;2023-09-10T02:22:10.000Z;5csk477r;LSTM;BTC-USD;2990;0,07100454;0,001780741;0,001780741;0,07100454;0,001816867;0,001816867;818291392;818291392
fluent-sweep-3;effec-size-ds;5y;2018-2023;5d;64;0,2;100;99;sgd;0,054724813;5552;4324,273432;18,29358792;finished;sal-souzasa;2023-09-10T00:49:35.000Z;5csk477r;LSTM;BTC-USD;2990;0,054724813;0,001887136;0,001887136;0,054724813;0,00182224;0,00182224;818290560;818290560
ruby-sweep-2;effec-size-ds;5y;2018-2023;5d;64;0,2;100;99;sgd;0,090678861;5797;2261,033171;9,702608729;finished;sal-souzasa;2023-09-09T23:12:56.000Z;5csk477r;LSTM;BTC-USD;2990;0,090678863;0,001968594;0,001968594;0,090678863;0,002135387;0,002135387;818292288;818292288
vivid-sweep-1;effec-size-ds;5y;2018-2023;5d;64;0,1;100;99;adam;0,080647288;5216;2756,60622;11,05172294;finished;sal-souzasa;2023-09-09T21:45:56.000Z;5csk477r;LSTM;BTC-USD;2990;0,08064729;0,001283972;0,001283972;0,08064729;0,001278515;0,001278515;818291712;818291712
lilac-sweep-6;effec-size-ds;5y;2018-2023;60d;64;0,2;100;99;adam;0,08891931;5814;40661,86581;182,2521423;finished;sal-souzasa;2023-09-09T19:27:50.000Z;ctu6bx5t;LSTM;BTC-USD;2990;0,088919312;0,648447335;0,648447335;0,088919312;0,649894953;0,649894953;818263168;818263168
cosmic-sweep-5;effec-size-ds;5y;2018-2023;60d;64;0,3;100;99;adam;0,01074722;5590;289,7055677;2,81717757;finished;sal-souzasa;2023-09-09T17:54:35.000Z;ctu6bx5t;LSTM;BTC-USD;2990;0,010747219;0,000873658;0,000873658;0,010747219;0,000877757;0,000877757;818293888;818293888
unique-sweep-4;effec-size-ds;5y;2018-2023;60d;64;0,3;100;99;adam;0,056046631;5292;19500,77402;93,88853344;finished;sal-souzasa;2023-09-09T16:26:17.000Z;ctu6bx5t;LSTM;BTC-USD;2990;0,056046631;0,012567601;0,012567601;0,056046631;0,012551483;0,012551483;818280704;818280704
expert-sweep-3;effec-size-ds;5y;2018-2023;60d;64;0,3;100;99;sgd;0,041170089;5685;5235,188172;21,8806742;finished;sal-souzasa;2023-09-09T14:51:29.000Z;ctu6bx5t;LSTM;BTC-USD;2990;0,04117009;0,0034153;0,0034153;0,04117009;0,00338888;0,00338888;818289856;818289856
