;size_dataset;lookback;mape;yhat;erro
1;1y;05d;6,543873341;-4,545744539;11,08961788
2;1y;05d;4,897579822;-4,545744539;9,443324361
3;1y;05d;8,386708407;-4,545744539;12,93245295
4;1y;05d;6,051025262;-4,545744539;10,5967698
5;1y;05d;6,591140588;-4,545744539;11,13688513
6;1y;05d;6,934146501;-4,545744539;11,47989104
7;1y;10d;4,739713872;32,68304322;-27,94332935
8;1y;10d;7,451243214;32,68304322;-25,23180001
9;1y;10d;7,102186963;32,68304322;-25,58085626
10;1y;10d;7,083831129;32,68304322;-25,59921209
11;1y;10d;5,333962186;32,68304322;-27,34908103
12;1y;10d;6,248653251;32,68304322;-26,43438997
13;1y;20d;6,746499774;-2,602162175;9,348661949
14;1y;20d;5,55178114;-2,602162175;8,153943315
15;1y;20d;5,981952694;-2,602162175;8,584114869
16;1y;20d;7,243839987;-2,602162175;9,846002162
17;1y;20d;3,89837497;-2,602162175;6,500537145
18;1y;20d;3,884944838;-2,602162175;6,487107013
19;1y;30d;5,918161281;-4,589512586;10,50767387
20;1y;30d;5,219288994;-4,589512586;9,80880158
21;1y;30d;8,577478542;-4,589512586;13,16699113
22;1y;30d;4,921667464;-4,589512586;9,51118005
23;1y;30d;6,036374785;-4,589512586;10,62588737
24;1y;30d;6,366183139;-4,589512586;10,95569573
25;1y;40d;6,202943292;14,87819786;-8,675254572
26;1y;40d;8,351687725;14,87819786;-6,52651014
27;1y;40d;4,922257202;14,87819786;-9,955940662
28;1y;40d;5,022790353;14,87819786;-9,855407512
29;1y;40d;6,387781034;14,87819786;-8,490416831
30;1y;40d;7,640923518;14,87819786;-7,237274346
31;1y;50d;6,745230346;-2,474075443;9,219305789
32;1y;50d;6,681117429;-2,474075443;9,155192871
33;1y;50d;7,812101698;-2,474075443;10,28617714
34;1y;50d;7,386990691;-2,474075443;9,861066133
35;1y;50d;5,944279828;-2,474075443;8,41835527
36;1y;50d;3,928876777;-2,474075443;6,402952219
37;1y;60d;6,085268075;9,350058119;-3,264790044
38;1y;60d;4,892899222;9,350058119;-4,457158897
39;1y;60d;3,973712236;9,350058119;-5,376345883
40;1y;60d;6,951291037;9,350058119;-2,398767082
41;1y;60d;4,221864853;9,350058119;-5,128193266
42;1y;60d;5,336199307;9,350058119;-4,013858812
43;3y;05d;4,700073905;8,787021507;-4,086947602
44;3y;05d;2,935946089;8,787021507;-5,851075418
45;3y;05d;12,33187285;8,787021507;3,544851345
46;3y;05d;7,160207335;8,787021507;-1,626814172
47;3y;05d;2,83264867;8,787021507;-5,954372837
48;3y;05d;9,862628063;8,787021507;1,075606556
49;3y;10d;4,185943544;46,01580927;-41,82986572
50;3y;10d;2,969888602;46,01580927;-43,04592066
51;3y;10d;2,741961411;46,01580927;-43,27384786
52;3y;10d;11,51797749;46,01580927;-34,49783178
53;3y;10d;247,6590566;46,01580927;201,6432474
54;3y;10d;247,6590566;46,01580927;201,6432474
55;3y;10d;3,501288404;46,01580927;-42,51452086
56;3y;10d;247,6590566;46,01580927;201,6432474
57;3y;20d;3,676111717;10,73060387;-7,054492155
58;3y;20d;3,217166724;10,73060387;-7,513437148
59;3y;20d;2,529205473;10,73060387;-8,201398398
60;3y;20d;2,529375805;10,73060387;-8,201228066
61;3y;20d;2,69204655;10,73060387;-8,038557321
62;3y;20d;2,465300087;10,73060387;-8,265303784
63;3y;30d;2,830451433;8,74325346;-5,912802027
64;3y;30d;3,367599922;8,74325346;-5,375653539
65;3y;30d;2,643760096;8,74325346;-6,099493364
66;3y;30d;2,615488789;8,74325346;-6,127764672
67;3y;30d;2,481071158;8,74325346;-6,262182302
68;3y;30d;4,030489048;8,74325346;-4,712764412
69;3y;40d;3,781180822;28,21096391;-24,42978309
70;3y;40d;2,640570679;28,21096391;-25,57039323
71;3y;40d;2,314537234;28,21096391;-25,89642668
72;3y;40d;3,871182829;28,21096391;-24,33978108
73;3y;40d;2,683379943;28,21096391;-25,52758397
74;3y;40d;2,841474537;28,21096391;-25,36948937
75;3y;50d;3,79331576;10,8586906;-7,065374844
76;3y;50d;3,151532184;10,8586906;-7,70715842
77;3y;50d;6,159595981;10,8586906;-4,699094623
78;3y;50d;2,998798154;10,8586906;-7,85989245
79;3y;50d;3,270587608;10,8586906;-7,588102996
80;3y;50d;5,367106216;10,8586906;-5,491584388
81;3y;60d;4,129794491;22,68282417;-18,55302967
82;3y;60d;3,778604008;22,68282417;-18,90422016
83;3y;60d;3,790754707;22,68282417;-18,89206946
84;3y;60d;2,379619466;22,68282417;-20,3032047
85;3y;60d;3,982566485;22,68282417;-18,70025768
86;3y;60d;4,476345072;22,68282417;-18,20647909
87;5y;05d;6,543184176;20,41435552;-13,87117135
88;5y;05d;8,411757683;20,41435552;-12,00259784
89;5y;05d;14,70308265;20,41435552;-5,711272868
90;5y;05d;18,29358792;20,41435552;-2,120767603
91;5y;05d;9,702608729;20,41435552;-10,71174679
92;5y;05d;11,05172294;20,41435552;-9,36263258
93;5y;10d;34,99131775;57,64314328;-22,65182553
94;5y;10d;6,176233857;57,64314328;-51,46690942
95;5y;10d;24,41328189;57,64314328;-33,2298614
96;5y;10d;14,63666849;57,64314328;-43,00647479
97;5y;10d;9,56748132;57,64314328;-48,07566196
98;5y;10d;14,44478987;57,64314328;-43,19835341
99;5y;20d;4,158556677;22,35793789;-18,19938121
100;5y;20d;17,12842796;22,35793789;-5,229509924
101;5y;20d;12,56660741;22,35793789;-9,79133048
102;5y;20d;7,676507532;22,35793789;-14,68143035
103;5y;20d;64,78545353;22,35793789;42,42751564
104;5y;20d;26,18612463;22,35793789;3,828186742
105;5y;30d;15,99978702;20,37058748;-4,370800451
106;5y;30d;16,10052137;20,37058748;-4,27006611
107;5y;30d;11,17733492;20,37058748;-9,193252557
108;5y;30d;4,701044063;20,37058748;-15,66954341
109;5y;30d;14,08319678;20,37058748;-6,287390695
110;5y;30d;30,0760713;20,37058748;9,70548382
111;5y;40d;23,50528469;39,83829793;-16,33301324
112;5y;40d;3,828400708;39,83829793;-36,00989722
113;5y;40d;16,37406304;39,83829793;-23,46423489
