"Name","experiment","size-dataset","date_range","lookback","dropout","learning_rate","RSME","MAPE","mae","loss","epoch","Runtime","State","Notes","User","Tags","Created","Sweep","activation_1","architecture","batch_size","dataset","loss_function","best_epoch","best_val_loss","val_loss","val_mae"
"devout-blaze-143","effect-size-ds","5y","2018-2023","60d","0.1","0.005536768963286246","265.5432519266599","2.93405450094036","0.014883611351251602","0.0005512615898624063","100","771","finished","-","sal-souzasa","","2023-09-16T20:17:30.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818289408","818294400","26904.595703125"
"rosy-capybara-142","effect-size-ds","5y","2018-2023","60d","0.1","0.006956544235016862","438.9366478235095","3.3441647044792084","0.014477461576461792","0.0005421676905825734","100","811","finished","-","sal-souzasa","","2023-09-16T20:03:29.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290304","818293952","26904.587890625"
"earthy-feather-141","effect-size-ds","5y","2018-2023","60d","0.1","0.002167678125034612","227.33703050897697","2.9367739485696087","0.013847028836607931","0.000493874482344836","100","1006","finished","-","sal-souzasa","","2023-09-16T19:45:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","36","818291136","818293952","26904.58984375"
"stilted-valley-140","effect-size-ds","5y","2018-2023","60d","0.1","0.008026806923721866","198.67032943766935","2.5561657183400666","0.01473909243941307","0.0005393707542680204","100","1391","finished","-","sal-souzasa","","2023-09-16T19:17:39.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","96","818291392","818294016","26904.58984375"
"robust-tree-139","effect-size-ds","5y","2018-2023","60d","0.1","0.0021224096058846155","39.93702362804878","2.751509224427796","0.013365107588469982","0.0004681923310272395","100","994","finished","-","sal-souzasa","","2023-09-16T18:51:50.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","16","818291008","818294336","26904.59375"
"atomic-spaceship-137","effect-size-ds","5y","2018-2023","60d","0.1","0.006777174627789745","1282.2773966802167","5.517846927888545","0.014025634154677393","0.00048396954662166536","100","1025","finished","-","sal-souzasa","","2023-09-16T02:43:23.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","22","818291008","818292992","26904.572265625"
"balmy-rain-136","effect-size-ds","5y","2018-2023","50d","0.1","0.001194338087435215","184.326751460874","3.5400640305777067","0.017475342378020287","0.0008570483769290149","100","732","finished","-","sal-souzasa","","2023-09-16T02:25:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288896","818293952","26904.58984375"
"stilted-wildflower-135","effect-size-ds","5y","2018-2023","50d","0.1","0.007617378847671517","277.75095803692415","2.769349434270716","0.01660747453570366","0.0006984639330767095","100","783","finished","-","sal-souzasa","","2023-09-16T02:04:26.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","3","818291648","818293760","26904.587890625"
"worldly-plasma-134","effect-size-ds","5y","2018-2023","50d","0.1","0.005337742631815225","432.96619876355015","2.9399371283474545","0.01391182281076908","0.0005048714810982347","100","753","finished","-","sal-souzasa","","2023-09-16T01:41:11.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818288256","818293696","26904.587890625"
"smooth-terrain-133","effect-size-ds","5y","2018-2023","50d","0.1","0.0072782772550174304","406.01365334942415","2.8758672105117022","0.015114979818463326","0.0005142439040355384","100","769","finished","-","sal-souzasa","","2023-09-16T01:27:46.000Z","","tanh","LSTM","64","BTC-USD","mean_squared_error","0","818290048","818294592","26904.599609375"
